Conversation ID,Conversation Participant type,Conversation Message Text,translated text,NPS score,Language,Devices used,Inserted On,Expected_Sentiment_For_Demo
CONV-100203,Customer,I am frustrated because no one followed up on my issue.,I am frustrated because no one followed up on my issue.,6,English,Phone,2026-01-09,Negative
CONV-100204,Customer,"Thank you for the fast support, the agent solved my issue clearly.","Thank you for the fast support, the agent solved my issue clearly.",0,English,Mobile App,2026-01-05,Positive
CONV-100205,Agent,I had a poor experience and the issue remains unresolved.,I had a poor experience and the issue remains unresolved.,4,English,Email,2026-01-05,Negative
CONV-100206,Customer,I am happy with the service and the reply was very helpful.,I am happy with the service and the reply was very helpful.,10,English,Chat Widget,2026-03-10,Positive
CONV-100207,Agent,I am frustrated because no one followed up on my issue.,I am frustrated because no one followed up on my issue.,9,English,Email,2026-02-27,Negative
CONV-100208,Customer,The user asked for an update about the account.,The customer asked for an update about the account.,7,Thai,Mobile App,2026-01-06,Neutral
CONV-100209,Customer,I would like to check the status of my request.,I would like to check the status of my request.,4,English,Mobile App,2026-01-13,Neutral
CONV-100210,Customer,"This is disappointing, I already contacted support many times.","This is disappointing, I already contacted support many times.",8,Malay,Chat Widget,2026-01-07,Negative
CONV-100211,Supplier,The user was unhappy about the delay and lack of clarity.,The customer was unhappy about the delay and lack of clarity.,6,Thai,Web,2026-01-10,Negative
CONV-100212,Agent,"This is disappointing, I already contacted support many times.","This is disappointing, I already contacted support many times.",10,English,Web,2026-03-19,Negative
CONV-100213,Agent,The response was slow and did not solve the problem.,The response was slow and did not solve the problem.,3,English,Email,2026-01-17,Negative
CONV-100214,Agent,"Great user service, I appreciate the quick follow up.","Great customer service, I appreciate the quick follow up.",0,Chinese,Email,2026-01-30,Positive
CONV-100215,Customer,I am happy with the service and the reply was very helpful.,I am happy with the service and the reply was very helpful.,9,English,Phone,2026-01-22,Positive
CONV-100216,Customer,"This is disappointing, I already contacted support many times.","This is disappointing, I already contacted support many times.",1,English,Mobile App,2026-01-12,Negative
CONV-100217,Customer,"Thank you for the fast support, the agent solved my issue clearly.","Thank you for the fast support, the agent solved my issue clearly.",5,Malay,Email,2026-03-23,Positive
CONV-100218,Supplier,The response was slow and did not solve the problem.,The response was slow and did not solve the problem.,10,Tagalog,Email,2026-02-21,Negative
CONV-100219,Agent,I had a poor experience and the issue remains unresolved.,I had a poor experience and the issue remains unresolved.,0,English,Email,2026-03-16,Negative
CONV-100220,Customer,"This is disappointing, I already contacted support many times.","This is disappointing, I already contacted support many times.",4,Arabic,Mobile App,2026-01-13,Negative
CONV-100221,Customer,The user was unhappy about the delay and lack of clarity.,The customer was unhappy about the delay and lack of clarity.,9,English,Web,2026-02-16,Negative
CONV-100222,Customer,I had a poor experience and the issue remains unresolved.,I had a poor experience and the issue remains unresolved.,4,Spanish,Chat Widget,2026-02-25,Negative
CONV-100223,Traveler,Can you confirm the next step for my case?,Can you confirm the next step for my case?,6,Malay,Email,2026-02-26,Neutral
CONV-100224,Agent,The user asked for an update about the account.,The customer asked for an update about the account.,5,Tagalog,Web,2026-03-02,Neutral
CONV-100225,Customer,The issue is fixed now and I am satisfied with the support.,The issue is fixed now and I am satisfied with the support.,8,Malay,Chat Widget,2026-03-21,Positive
CONV-100226,Agent,Can you confirm the next step for my case?,Can you confirm the next step for my case?,3,English,Email,2026-02-15,Neutral
CONV-100227,Agent,Can you confirm the next step for my case?,Can you confirm the next step for my case?,9,English,Chat Widget,2026-01-03,Neutral
CONV-100228,Customer,[system note removed] I am happy with the service and the reply was very helpful.,[system note removed] I am happy with the service and the reply was very helpful.,0,Malay,Chat Widget,2026-03-25,Positive
CONV-100229,Agent,Can you confirm the next step for my case?,Can you confirm the next step for my case?,7,English,Phone,2026-01-02,Neutral
CONV-100230,Agent,I had a poor experience and the issue remains unresolved.,I had a poor experience and the issue remains unresolved.,6,English,Web,2026-03-05,Negative
CONV-100231,Supplier,I would like to check the status of my request.,I would like to check the status of my request.,8,Tagalog,Mobile App,2026-02-02,Neutral
CONV-100232,Traveler,I had a poor experience and the issue remains unresolved.,I had a poor experience and the issue remains unresolved.,8,Tagalog,Mobile App,2026-01-17,Negative
CONV-100233,Customer,"Great user service, I appreciate the quick follow up.","Great customer service, I appreciate the quick follow up.",0,English,Chat Widget,2026-01-20,Positive
CONV-100234,Customer,[system note removed] I am happy with the service and the reply was very helpful.,[system note removed] I am happy with the service and the reply was very helpful.,10,English,Mobile App,2026-02-02,Positive
CONV-100235,Agent,I am frustrated because no one followed up on my issue.,I am frustrated because no one followed up on my issue.,9,English,Web,2026-02-07,Negative
CONV-100236,Customer,I would like to check the status of my request.,I would like to check the status of my request.,9,English,Chat Widget,2026-02-18,Neutral
CONV-100237,Agent,[system note removed] The response was slow and did not solve the problem.,[system note removed] The response was slow and did not solve the problem.,9,Malay,Mobile App,2026-02-01,Negative
CONV-100238,Traveler,The issue is fixed now and I am satisfied with the support.,The issue is fixed now and I am satisfied with the support.,10,Malay,Chat Widget,2026-03-03,Positive
CONV-100239,Customer,The conversation was about general product availability.,The conversation was about general product availability.,8,Malay,Web,2026-01-22,Neutral
CONV-100240,Customer,I would like to check the status of my request.,I would like to check the status of my request.,7,Tagalog,Email,2026-03-23,Neutral
CONV-100241,Agent,"Great user service, I appreciate the quick follow up.","Great customer service, I appreciate the quick follow up.",3,Thai,Web,2026-01-19,Positive
CONV-100242,Agent,I had a poor experience and the issue remains unresolved.,I had a poor experience and the issue remains unresolved.,3,Chinese,Email,2026-02-13,Negative
CONV-100243,Customer,I need more information before making a decision.,I need more information before making a decision.,4,Arabic,Mobile App,2026-02-28,Neutral
CONV-100244,Agent,The conversation was about general product availability.,The conversation was about general product availability.,8,English,Mobile App,2026-01-07,Neutral
CONV-100245,Customer,The conversation was about general product availability.,The conversation was about general product availability.,8,Tagalog,Chat Widget,2026-02-06,Neutral
CONV-100246,Agent,I am happy with the service and the reply was very helpful.,I am happy with the service and the reply was very helpful.,10,English,Mobile App,2026-02-20,Positive
CONV-100247,Customer,I need more information before making a decision.,I need more information before making a decision.,8,English,Web,2026-03-20,Neutral
CONV-100248,Customer,The response was slow and did not solve the problem.,The response was slow and did not solve the problem.,4,Malay,Phone,2026-01-12,Negative
CONV-100249,Customer,The user asked for an update about the account.,The customer asked for an update about the account.,9,English,Web,2026-01-08,Neutral
CONV-100250,Customer,The conversation was about general product availability.,The conversation was about general product availability.,8,English,Web,2026-02-06,Neutral
CONV-100251,Customer,The response was slow and did not solve the problem.,The response was slow and did not solve the problem.,4,Thai,Mobile App,2026-03-25,Negative
CONV-100252,Agent,I would like to check the status of my request.,I would like to check the status of my request.,6,Arabic,Web,2026-02-04,Neutral
CONV-100253,Agent,Can you confirm the next step for my case?,Can you confirm the next step for my case?,9,English,Phone,2026-01-23,Neutral
CONV-100254,Agent,The user asked for an update about the account.,The customer asked for an update about the account.,1,English,Web,2026-01-10,Neutral
CONV-100255,Agent,[system note removed] I would like to check the status of my request.,[system note removed] I would like to check the status of my request.,6,Malay,Chat Widget,2026-01-01,Neutral
CONV-100256,Agent,I am happy with the service and the reply was very helpful.,I am happy with the service and the reply was very helpful.,6,Malay,Phone,2026-03-17,Positive
CONV-100257,Customer,Can you confirm the next step for my case?,Can you confirm the next step for my case?,9,Malay,Chat Widget,2026-03-02,Neutral
CONV-100258,Supplier,"Thank you for the fast support, the agent solved my issue clearly.","Thank you for the fast support, the agent solved my issue clearly.",2,English,Web,2026-01-29,Positive
CONV-100259,Agent,The user asked for an update about the account.,The customer asked for an update about the account.,3,English,Mobile App,2026-02-20,Neutral
CONV-100260,Agent,"[system note removed] Great user service, I appreciate the quick follow up.","[system note removed] Great customer service, I appreciate the quick follow up.",10,Arabic,Email,2026-03-30,Positive
CONV-100261,Customer,I need more information before making a decision.,I need more information before making a decision.,6,English,Web,2026-01-23,Neutral
CONV-100262,Agent,The conversation was about general product availability.,The conversation was about general product availability.,0,English,Web,2026-01-08,Neutral
CONV-100263,Agent,I am frustrated because no one followed up on my issue.,I am frustrated because no one followed up on my issue.,8,English,Phone,2026-03-27,Negative
CONV-100264,Customer,The issue is fixed now and I am satisfied with the support.,The issue is fixed now and I am satisfied with the support.,10,English,Web,2026-03-23,Positive
CONV-100265,Customer,I would like to check the status of my request.,I would like to check the status of my request.,7,English,Mobile App,2026-02-15,Neutral
CONV-100266,Customer,"This is disappointing, I already contacted support many times.","This is disappointing, I already contacted support many times.",10,Chinese,Phone,2026-03-31,Negative
CONV-100267,Agent,"Great user service, I appreciate the quick follow up.","Great customer service, I appreciate the quick follow up.",7,English,Mobile App,2026-02-10,Positive
CONV-100268,Customer,I had a poor experience and the issue remains unresolved.,I had a poor experience and the issue remains unresolved.,1,English,Email,2026-03-09,Negative
CONV-100269,Customer,Can you confirm the next step for my case?,Can you confirm the next step for my case?,10,English,Web,2026-03-23,Neutral
CONV-100270,Agent,"This is disappointing, I already contacted support many times.","This is disappointing, I already contacted support many times.",9,English,Mobile App,2026-03-26,Negative
CONV-100271,Agent,"Thank you for the fast support, the agent solved my issue clearly.","Thank you for the fast support, the agent solved my issue clearly.",6,Tagalog,Chat Widget,2026-03-30,Positive
CONV-100272,Customer,I need more information before making a decision.,I need more information before making a decision.,6,English,Email,2026-03-13,Neutral
CONV-100273,Customer,I need more information before making a decision.,I need more information before making a decision.,6,English,Web,2026-03-13,Neutral
CONV-100274,Customer,The conversation was about general product availability.,The conversation was about general product availability.,0,English,Chat Widget,2026-01-05,Neutral
CONV-100275,Customer,I need more information before making a decision.,I need more information before making a decision.,7,Malay,Web,2026-02-12,Neutral
CONV-100276,Agent,"[system note removed] Thank you for the fast support, the agent solved my issue clearly.","[system note removed] Thank you for the fast support, the agent solved my issue clearly.",0,Malay,Chat Widget,2026-01-15,Positive
CONV-100277,Traveler,"[system note removed] Great user service, I appreciate the quick follow up.","[system note removed] Great customer service, I appreciate the quick follow up.",1,Spanish,Email,2026-02-03,Positive
CONV-100278,Customer,"Great user service, I appreciate the quick follow up.","Great customer service, I appreciate the quick follow up.",7,Tagalog,Phone,2026-01-28,Positive
CONV-100279,Agent,The user asked for an update about the account.,The customer asked for an update about the account.,8,Tagalog,Mobile App,2026-03-18,Neutral
CONV-100280,Agent,Can you confirm the next step for my case?,Can you confirm the next step for my case?,3,Tagalog,Web,2026-02-08,Neutral
CONV-100281,Customer,The user asked for an update about the account.,The customer asked for an update about the account.,2,Malay,Web,2026-02-25,Neutral
CONV-100282,Customer,The user was unhappy about the delay and lack of clarity.,The customer was unhappy about the delay and lack of clarity.,9,Malay,Phone,2026-02-16,Negative
CONV-100283,Customer,The user was unhappy about the delay and lack of clarity.,The customer was unhappy about the delay and lack of clarity.,9,Japanese,Mobile App,2026-01-26,Negative
CONV-100284,Customer,"Thank you for the fast support, the agent solved my issue clearly.","Thank you for the fast support, the agent solved my issue clearly.",6,Thai,Mobile App,2026-01-26,Positive
CONV-100285,Agent,[system note removed] The issue is fixed now and I am satisfied with the support.,[system note removed] The issue is fixed now and I am satisfied with the support.,8,Thai,Web,2026-03-30,Positive
CONV-100286,Customer,The process was smooth and the representative was professional.,The process was smooth and the representative was professional.,6,Malay,Mobile App,2026-02-02,Positive
CONV-100287,Agent,"Thank you for the fast support, the agent solved my issue clearly.","Thank you for the fast support, the agent solved my issue clearly.",0,Malay,Chat Widget,2026-03-12,Positive
CONV-100288,Agent,I would like to check the status of my request.,I would like to check the status of my request.,6,Malay,Mobile App,2026-01-02,Neutral
CONV-100289,Customer,I am happy with the service and the reply was very helpful.,I am happy with the service and the reply was very helpful.,8,English,Phone,2026-02-08,Positive
CONV-100290,Agent,I am frustrated because no one followed up on my issue.,I am frustrated because no one followed up on my issue.,5,Chinese,Chat Widget,2026-03-31,Negative
CONV-100291,Traveler,[system note removed] I am happy with the service and the reply was very helpful.,[system note removed] I am happy with the service and the reply was very helpful.,9,English,Phone,2026-02-05,Positive
CONV-100292,Agent,"Thank you for the fast support, the agent solved my issue clearly.","Thank you for the fast support, the agent solved my issue clearly.",4,English,Chat Widget,2026-01-13,Positive
CONV-100293,Agent,Can you confirm the next step for my case?,Can you confirm the next step for my case?,9,English,Phone,2026-01-08,Neutral
CONV-100294,Customer,"This is disappointing, I already contacted support many times.","This is disappointing, I already contacted support many times.",7,English,Email,2026-03-27,Negative
CONV-100295,Supplier,Can you confirm the next step for my case?,Can you confirm the next step for my case?,8,Malay,Web,2026-03-28,Neutral
CONV-100296,Agent,I would like to check the status of my request.,I would like to check the status of my request.,7,Spanish,Phone,2026-01-31,Neutral
CONV-100297,Agent,The response was slow and did not solve the problem.,The response was slow and did not solve the problem.,6,English,Chat Widget,2026-01-17,Negative
CONV-100298,Supplier,"Thank you for the fast support, the agent solved my issue clearly.","Thank you for the fast support, the agent solved my issue clearly.",6,English,Chat Widget,2026-01-05,Positive
CONV-100299,Customer,"This is disappointing, I already contacted support many times.","This is disappointing, I already contacted support many times.",4,Tagalog,Chat Widget,2026-03-11,Negative
CONV-100300,Customer,"Great user service, I appreciate the quick follow up.","Great customer service, I appreciate the quick follow up.",9,Malay,Chat Widget,2026-02-07,Positive
